Сидама Бунна-Фасил Кенема,19.10.2023 в 22:00,3.40,2.90,2.28
Осасуна-Гранада,21.10.2023 в 02:00,1.84,3.80,4.30
Гавр-Ланс,21.10.2023 в 02:00,4.60,3.70,1.81
Чертаново (ж)-Крылья Советов (ж),20.10.2023 в 17:00,1.40,3.88,8.70
Ростов (ж)-Енисей Красноярск (ж),20.10.2023 в 20:00,1.30,5.20,8.00
Локомотив М (ж)-Рязань ВДВ (ж),20.10.2023 в 20:00,1.20,6.00,12.0
Ротерхэм Юнайтед-Ипсвич Таун,21.10.2023 в 02:00,6.00,4.40,1.50
Сампайо Корреа-Виториа БА,21.10.2023 в 05:00,2.65,3.00,2.90
Либертад Асунсьон-Спортиво Амелиано,21.10.2023 в 05:30,1.51,4.60,5.60
Ксамакс-Ньон,21.10.2023 в 00:30,1.70,4.10,4.40
Виль-Тун,21.10.2023 в 01:15,2.85,3.70,2.27
Ньюпорт Каунти-Уолсолл,21.10.2023 в 01:45,2.47,3.20,2.60
Транмир Роверс-Донкастер Роверс,21.10.2023 в 01:45,2.75,3.20,2.35
Тигре-Ньюэллс Олд Бойз,21.10.2023 в 02:45,2.31,2.95,3.05
Уракан-Институто Кордоба,21.10.2023 в 05:00,2.10,2.80,3.80
Тальерес Кордоба-Арсенал де Саранди,21.10.2023 в 05:00,1.44,4.10,6.40
Эльферсберг-Айнтрахт Брауншвейг,20.10.2023 в 23:30,1.78,3.95,4.00
Аль-Охдуд-Аль-Файха,20.10.2023 в 22:00,3.05,3.40,2.35
Аль-Таавун-Аль-Иттихад Джидда,20.10.2023 в 22:00,4.90,4.10,1.66
Аль-Фатех-Абха,21.10.2023 в 01:00,1.59,4.50,5.00
Аль-Хиляль Рияд-Аль-Халидж,21.10.2023 в 01:00,1.11,10.0,22.0
Эспаньол-Леганес,21.10.2023 в 02:00,1.62,3.80,5.60
Парма-Комо,21.10.2023 в 01:30,1.85,3.50,4.30
Утрехт (мол)-ПСВ Эйндховен (мол),21.10.2023 в 01:00,2.32,3.60,2.85
Ден Босх-Венло,21.10.2023 в 01:00,2.60,3.60,2.50
Маастрихт-Камбуур,21.10.2023 в 01:00,3.40,3.85,1.97
Де Граафсхап-Гронинген,21.10.2023 в 01:00,2.80,3.60,2.37
НАК Бреда-Стормвогелс Телстар,21.10.2023 в 01:00,1.49,4.60,6.00
Эммен-Ден Хааг,21.10.2023 в 01:00,2.03,3.70,3.35
Дордрехт-Аякс (мол),21.10.2023 в 01:00,2.07,4.00,3.05
Эйндховен-Хельмонд,21.10.2023 в 01:00,2.19,3.55,3.10
АЗ Алкмаар (мол)-Топ Осс,21.10.2023 в 01:00,1.78,3.90,4.10
Торпедо Жодино-Неман Гродно,20.10.2023 в 23:00,3.30,3.20,2.26
Юнион Сент-Жиллуаз-Эйпен,21.10.2023 в 01:45,1.28,6.00,10.0
Ламия-ПАС Яннина,21.10.2023 в 00:30,2.26,3.15,3.45
Хвидовре-Силькеборг,21.10.2023 в 00:00,5.40,4.30,1.57
Университи Колледж Дублин-Корк Сити,21.10.2023 в 01:45,5.60,4.30,1.56
Богемианс Дублин-Сент-Патрик Атлетик,21.10.2023 в 01:45,1.83,3.85,4.10
Дерри Сити-Шелбурн,21.10.2023 в 01:45,1.58,3.90,6.20
Слайго Роверс-Дандолк,21.10.2023 в 01:45,2.90,3.45,2.40
Шемрок Роверс-Дрогеда Юнайтед,21.10.2023 в 02:00,1.29,5.60,10.0
Чанчун Ятай-Шаньдун Таишань,20.10.2023 в 14:30,5.80,4.40,1.54
Далянь Профешнл-Ухань Шанвэнь,20.10.2023 в 14:30,2.95,3.65,2.30
Шанхай Порт-Бэйцзин Гоань,20.10.2023 в 18:35,1.42,5.00,6.80
Пяст Гливице-Погонь Щецин,20.10.2023 в 23:00,2.70,3.35,2.65
Ягеллония-Заглембе Любин,21.10.2023 в 01:30,2.75,3.45,2.49
Ута Арад-Рапид Бухарест,21.10.2023 в 01:00,3.45,3.35,2.17
Оболонь-Заря,20.10.2023 в 21:00,3.05,3.20,2.40
Металлист 1925-Кривбасс,20.10.2023 в 23:00,3.35,3.20,2.22
Аделаида Юнайтед-Централ Коаст Маринерс,20.10.2023 в 15:45,2.40,3.75,2.80
Лузитания-Бенфика,20.10.2023 в 22:30,40.0,25.0,1.03
Ковилья-Портимоненсе,21.10.2023 в 01:00,10.0,6.20,1.28
Вилар-де-Пердизеш-Порту,21.10.2023 в 02:45,45.0,26.0,1.02
Кавасаки Фронтале-Ависпа Фукуока,20.10.2023 в 17:00,1.89,3.65,4.20
Урава-Касива Рейсол,20.10.2023 в 17:30,1.90,3.55,4.30
Вентфорет Кофу-В-Варен Нагасаки,20.10.2023 в 17:00,2.20,3.65,3.00
Эйрдрионианс-Квинс Парк,21.10.2023 в 01:45,2.26,3.65,2.90
Аделаида Юнайтед (ж)-Централ Коаст Маринерс (ж),20.10.2023 в 13:00,1.91,3.75,3.45
Рид-Фёрст Вена,20.10.2023 в 23:10,1.57,4.30,5.40
Лафниц-Штрипфинг,20.10.2023 в 23:10,2.35,3.75,2.70
Флоридсдорфер-Амштеттен,20.10.2023 в 23:10,1.61,4.30,4.80
Адмира Ваккер-ГАК,21.10.2023 в 01:30,2.90,3.60,2.28
Трайскирхен-Донауфельд,20.10.2023 в 23:30,2.15,3.80,2.85
Дойтчландсбергер-Вольфсбергер АК,21.10.2023 в 00:00,1.41,5.20,5.60
Рапид Вена 2-Нойзидль,21.10.2023 в 00:00,-,-,-
Аллерхайлиген-Клагенфурт,21.10.2023 в 00:00,1.77,4.20,3.65
Винер Спортклуб-Мауэрверк,21.10.2023 в 00:30,1.28,5.60,8.40
Маршфельд Донауауэн-Оберварт,21.10.2023 в 00:30,1.68,4.10,4.20
Аустрия Вена 2-Электра,21.10.2023 в 01:00,1.73,4.00,4.00
Туран Товуз-Карабах,20.10.2023 в 21:30,7.60,4.80,1.35
Сабаил-Нефтчи,20.10.2023 в 23:30,2.80,3.00,2.55
Ван-Алашкерт,20.10.2023 в 18:00,8.20,4.90,1.32
Пюник-Арарат Армения,20.10.2023 в 18:00,1.94,3.50,3.60
Дейнце-Генк 2,21.10.2023 в 01:00,1.79,3.95,3.75
Биршот Вилрейк-Ломмель Юнайтед,21.10.2023 в 01:00,2.44,3.55,2.55
Ломмел Юнайтед (до21)-Вестерло (до21),21.10.2023 в 00:30,5.80,6.40,1.33
Дейнце (до21)-Патро Эйсден Маасмехелен (до21),21.10.2023 в 00:30,2.33,3.70,2.65
Васланд-Беверен (до21)-Остенде (до21),21.10.2023 в 00:30,4.60,4.50,1.56
Моленбек (до21)-Льеж (до21),21.10.2023 в 01:00,1.82,4.40,3.30
Дендер (до21)-Сент-Трюйден (до21),21.10.2023 в 01:00,5.40,4.90,1.45
Гент (ж)-Стандард Льеж (ж),21.10.2023 в 01:30,5.00,4.50,1.47
Крумовград-Этар Велико Тарново,20.10.2023 в 20:45,2.21,3.40,3.30
Локомотив Пловдив-Берое,20.10.2023 в 23:15,1.56,4.30,5.80
Спартак Варна-Черноморец Балчик,20.10.2023 в 20:00,1.26,4.90,12.0
Беласица Петрич-Литекс Ловеч,20.10.2023 в 20:00,2.08,3.10,3.60
Хайфон-Хоанг Ань Гялай,20.10.2023 в 18:00,1.81,3.55,4.00
Комуникасьонес-Антигуа,21.10.2023 в 06:00,1.75,3.50,4.10
Вальдхоф Мангейм-Боруссия Д 2,21.10.2023 в 00:00,2.75,3.45,2.35
Кёльн (ж)-Байер Л (ж),20.10.2023 в 23:30,3.90,3.75,1.80
Фойхт-Эльтерсдорф,21.10.2023 в 00:00,11.0,6.20,1.21
Хеннеф-Бергиш Гладбах,21.10.2023 в 00:30,3.15,3.80,2.01
Тура Харкшайде-Дюнебергер,21.10.2023 в 00:30,1.34,5.60,6.40
Киршхаймер-Исманинг,21.10.2023 в 00:30,-,-,-
ЕТСВ Гамбург-Гамбург-Эймсбаттелер,21.10.2023 в 00:30,2.30,3.95,2.55
Вельберт-Хилден,21.10.2023 в 00:30,2.65,3.65,2.33
Боннер-Фрехен,21.10.2023 в 01:00,2.55,3.70,2.38
Хюрт-Порц,21.10.2023 в 01:00,2.55,3.95,2.32
Бавария 2-Айнтрахт Бамберг,21.10.2023 в 00:00,-,-,-
Мемминген-Тюркгюджю Мюнхен,21.10.2023 в 00:00,5.80,4.60,1.46
Вегберг-Бек-Падерборн 2,21.10.2023 в 00:30,3.75,3.50,1.90
Герта Берлин 2-Динамо Берлин,21.10.2023 в 00:00,2.75,3.65,2.26
Кемницер-Луккенвальде,21.10.2023 в 00:00,1.91,3.65,3.50
Рот-Вайсс Эрфурт-Бабельсберг,21.10.2023 в 00:00,1.78,3.75,3.95
Киккерс Оффенбах-Кобленц,21.10.2023 в 00:00,1.18,6.80,11.0
Олимпиакос Б-Панатинаикос 2,20.10.2023 в 21:00,-,-,-
Шукура-Сабуртало Тбилиси,20.10.2023 в 18:00,9.40,5.80,1.25
Динамо Батуми-Дила Гори,20.10.2023 в 23:00,1.45,4.40,6.20
