Политехника Яссы-АКС СепсиРумыния,20.10.2023 в ,2.63,3.1,2.72
Вендсиссель-ХорсенсДания,20.10.2023 в ,2.41,3.41,2.76
Ганза Росток II-ГрайфсвальдГермания,20.10.2023 в ,4.2,4.55,1.59
Партизани Тирана-КФ ТиранаАлбания,20.10.2023 в ,2.01,3.63,3.28
Депортиво Мальдонадо-Ривер Плейт МонтевидеоУругвай,20.10.2023 в ,2.37,3.11,3.06
Банхоф Фаворитен-ЛАК ИнтерАвстрия,20.10.2023 в ,15,9,1.11
Айлендорф-Тевтония ВайденГермания,20.10.2023 в ,4.99,4.28,1.55
Льерс(резерв)-Эйпен(резерв)Бельгия,20.10.2023 в ,2.45,4.2,2.14
Дортельвайль-Ной-ИзенбургГермания,20.10.2023 в ,2.45,3.45,2.55
Ибис-ЛимоэйреншеБразилия,20.10.2023 в ,1.33,4.7,8
Бюлах-КФ Дардания Ст,20.10.2023 в ,2.3,4,2.45
ФК Урания Женева Спорт-Вейриер СпортсШвейцария,20.10.2023 в ,1.85,4,3.35
Гимназия Ла-Плата-Аргентинос ХуниорсАргентина,20.10.2023 в ,3,2.95,2.47
Ребордоза-БрагаКубок Португалии 1/32 финалаП128,20.10.2023 в ,28.43,16.25,1.04
Сантос-БрагантиноБразилия,20.10.2023 в ,3.13,3.28,2.36
Роял Пари-АврораБоливия,20.10.2023 в ,2.15,3.31,3.16Ð
Виктория Ла Сейба-Реал Сосьедад ГондурасГондурас,20.10.2023 в ,2.44,2.95,2.75
Сан Франциско-Эррера ФКПанама,20.10.2023 в ,2.45,2.95,2.9
Бостон Ривер-Насьональ МонтевидеоУругвай,20.10.2023 в ,4.15,3.5,1.83
Насьональ Нуэва Хелвисия-ПрогресоКубок Уругвая 1/32 финалаП14,20.10.2023 в ,4.55,3.8,1.64
Хуанико-АтенасКубок Уругвая 1/32 финалаП14X3,20.10.2023 в ,4,3.25,1.89
Росарио Сентраль-Велес СарсфилдАргентина,20.10.2023 в ,2.46,2.91,3.06
Сармьенто-Расинг КлубАргентина,20.10.2023 в ,3.34,3.09,2.2
Мунисипал Лимено-11 ДепортивоСальвадор,20.10.2023 в ,2.32,3.35,2.8
Флуминенсе РЖ-КоринтиансБразилия,20.10.2023 в ,1.66,3.6,5.91
Коста дель Эсте(резерв)-Альянца Панама(резерв)Панама,20.10.2023 в ,2.5,3.4,2.35
Перейра-Атлетико НасиональКубок Колумбии 1/2 финала,20.10.2023 в ,2.75,3,2.68
Спортинг Сан Мигуэлито-Альянса ПанамаПанама,20.10.2023 в ,1.91,3.15,4
СД Фас-Фуэрте Сан-ФранцискоСальвадор,20.10.2023 в ,2.05,3.25,3.45
Атлас(жен)-Гвадалахара(жен)Жен,20.10.2023 в ,4.97,4.77,1.5
Венадос-Атлетико МорелияМексика,20.10.2023 в 10:05,2.12,3.21,3.26
УАНЛ Тигрес(жен)-Монтеррей(жен)Жен,20.10.2023 в 10:06,1.67,3.84,4.6
Пачука(жен)-Некакса(жен)Жен,20.10.2023 в 10:10,1.03,15.55,23.07
Аделаида Юн(жен)-Сентрал Кост Маринерс(жен)Жен,20.10.2023 в 13:00,1.99,3.9,3.15
Чанчунь Ятай-Шаньдун ТайшаньКитай,20.10.2023 в 14:30,5.98,4.25,1.51
Далянь Про-Ухань Три ТаунсКитай,20.10.2023 в 14:30,2.88,3.64,2.25
Аделаида Юн-Сентрал Кост МаринерсАвстралия,20.10.2023 в 15:45,2.39,3.72,2.76Ð
Тиарет(до21)-Хуссейн Дей(до21)Алжир,20.10.2023 в 16:00,2.29,3.76,2.54
Кавасаки-Ависпа ФукуокаЯпония,20.10.2023 в 17:00,1.81,3.53,4.58
Кофу-В-Варен НагасакиЯпония,20.10.2023 в 17:00,2.19,3.49,3.04
Урава-Касива РейсолЯпония,20.10.2023 в 17:30,1.89,3.35,4.4
Похан Стилерс-ИнчхонЮж,20.10.2023 в 17:30,1.92,3.43,4.03
Шанхай Порт-Пекин ГоаньКитай,20.10.2023 в 18:35,1.42,4.75,6.57
Хадия Хоссана-Волките СитиЭфиопия,20.10.2023 в 19:00,2.19,2.84,3.35
Керамека-Эль ДаклиеЕгипет,20.10.2023 в 20:00,1.66,3.41,5.62
Беласица Петрич-Литекс ЛовечБолгария,20.10.2023 в 20:00,2.07,3.03,3.6
Спартак Варна-Черноморец БалчикБолгария,20.10.2023 в 20:00,1.25,5.43,9.19
Левски Крумовград-Этар 1924 Велико ТырновоБолгария,20.10.2023 в 20:45,2.13,3.21,3.51
Оболонь Киев-Заря ЛуганскУкраина,20.10.2023 в 21:00,2.97,3.12,2.56
Эстеглал Тегеран-ХавадарИран,20.10.2023 в 21:30,1.29,5.15,9.29
Аль Мархия-Аль ШамальЧемпионат КатараП12,20.10.2023 в 21:30,2.57,3.59,2.47
Чехлаул Пятра Нимс-КСК 1599 СелимбарРумыния,20.10.2023 в 22:00,2.25,3.06,3.32
Аль Ахдуд-Аль ФейхаС,20.10.2023 в 22:00,2.87,3.37,2.31
Аль Таавон Бурайда-Аль Иттихад ДжиддаС,20.10.2023 в 22:00,4.63,4.07,1.62
Высочина Йиглава-ВишковЧехия,20.10.2023 в 22:00,2.95,3.25,2.27
Дайнава-СудуваЛитва,20.10.2023 в 22:00,2.36,3.12,3
Сент-Джордж-Шашэмэнне Кенема ФКЭфиопия,20.10.2023 в 22:00,1.45,3.56,7.23
Фулад Ахваз Хузестан-Эстеглал ХузестанИран,20.10.2023 в 22:30,1.83,3.01,5.02
ВиОн Злате Моравце-МФК Земплин МихаловцеСловакия,20.10.2023 в 22:30,2.31,3.29,2.99
Металлист 1925-Кривбасс Кривой РогУкраина,20.10.2023 в 23:00,3.58,3.17,2.2
Пршибрам-ПростежовЧехия,20.10.2023 в 23:00,1.78,3.7,3.9
Пиаст Гливице-Погонь ЩецинПольша,20.10.2023 в 23:00,2.66,3.26,2.69
Рудеш-Славен БелупоХорватия,20.10.2023 в 23:00,2.57,3.3,2.76
Флоридсдорфер АК-АмштеттенАвстрия,20.10.2023 в 23:10,1.56,4.2,4.7
Лафниц-СФ ШтрипфингАвстрия,20.10.2023 в 23:10,2.27,3.7,2.65
Рид-ФК Ферст ВенаАвстрия,20.10.2023 в 23:10,1.52,4.2,5.2
Локомотив Пловдив-Берое Стара ЗагораБолгария,20.10.2023 в 23:15,1.59,3.83,5.68
Ганновер 96-МагдебургГермания,20.10.2023 в 23:30,2.15,3.74,3.09
Эльверсберг 07-Айнтрахт БрГермания,20.10.2023 в 23:30,1.79,3.89,4.18
Вальдхоф Мангейм-Боруссия Д IIГермания,21.10.2023 в ,2.75,3.41,2.44
Хвидовре-СилькеборгДания,21.10.2023 в ,5.88,4.18,1.56
Хиллерёд-ФредерисияДания,21.10.2023 в ,2.82,3.63,2.27
Хобро-ХельсингорДания,21.10.2023 в ,1.91,3.7,3.6
Сендерюске-ИФ КолдингДания,21.10.2023 в ,1.68,4.2,4.2
Ксамакс-Стад НьоннесШвейцария,21.10.2023 в ,1.67,4.03,4.44
Ламия-ПАС ЯннинаГреция,21.10.2023 в ,2.25,3.17,3.47
АЗ Алкмаар(мол)-Топ ОссНидерланды,21.10.2023 в ,1.76,3.95,4
ФК Эйндховен-ХельмондНидерланды,21.10.2023 в ,2.12,3.44,3.24
Графсхап-ГронингенНидерланды,21.10.2023 в ,2.77,3.55,2.34
Ден Бош-ВенлоНидерланды,21.10.2023 в ,2.63,3.54,2.45
Дордрехт-Аякс(мол)Нидерланды,21.10.2023 в ,1.99,3.93,3.18
Эммен-Ден ХаагНидерланды,21.10.2023 в ,1.97,3.65,3.45
Утрехт(мол)-ПСВ Эйндховен(мол)Нидерланды,21.10.2023 в ,2.3,3.56,2.81
Маастрихт-КамбурНидерланды,21.10.2023 в ,3.29,3.94,1.94
Бреда-ТельстарНидерланды,21.10.2023 в ,1.48,4.36,5.94
ЮТА Арад-Рапид БхРумыния,21.10.2023 в ,3.8,3.3,2
